Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
El Salvador,2021,1.2904492808032562,3.104011834106672,4.471340290937807,4.357917169950576,-0.3571300238567617,4.449490436006957,4.421703765723341,4.183812938617029,4.399725360412502,3.6160065104620966,4.002081242479862,3.3066818638712534,55.293605429509086
El Salvador,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.384178472983526,-0.3571300238567617,4.4703110073120405,4.420963726051289,4.211538696967416,4.4015111167204335,3.610997915515573,3.6160065104620966,3.275236295661603,58.30150413353188
El Salvador,2023,1.2904492808032562,4.189795067314174,4.49672052745999,4.268685704379358,-0.3571300238567617,4.4703110073120405,4.439454908968092,4.213289058210551,4.430623698940526,3.610997915515573,3.6160065104620966,3.275236295661603,58.32001710453153
Estonia,2021,1.2904492808032562,4.524956537042111,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.518657435040975,4.276352079659014,4.521159857140312,3.417041574964676,2.0640629157319244,-0.3571300238567617,71.70963579431361
Estonia,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.523045957099933,4.287625083422729,4.5210591571361975,3.417041574964676,1.9324389107446345,-0.3571300238567617,72.28987581551908
Estonia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.523045957099933,4.295640179799671,4.430623698940526,3.417041574964676,1.6002152171414048,-0.3571300238567617,71.99211463062676
Fiji,2021,1.379448141588215,4.231453370382992,4.393147319313519,3.3601841066899123,-0.511759409892192,4.490690117872608,4.629525622442448,4.111286137000508,4.463415906850448,3.4950523895136545,4.156507585213647,2.886126718541812,57.55588876410271
Fiji,2022,1.379448141588215,4.146253214804603,4.393147319313519,3.420104569584108,-0.3571300238567617,4.510646037948736,4.605048161671199,4.144273092876437,4.4604123398208,3.492108663266857,3.423157908928527,2.8612400934348163,62.30773543013816
Fiji,2023,1.379448141588215,4.189795067314174,4.513604000327513,4.268685704379358,-0.2233216140000439,4.510646037948736,4.601488966064533,4.146697856466305,4.430623698940526,3.492163258139891,3.3601841066899123,2.858936242195275,66.43630299502613
Finland,2021,1.2904492808032562,4.5187096625470655,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.523921097787183,4.336679625642863,4.524839330618081,3.282312865087391,2.0640629157319244,-2.3216392926406413,79.40159946631852
Finland,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.5167395251226585,4.328389341872828,4.524839266034213,3.282312865087391,2.0640629157319244,-2.3216392926406413,77.30955620684064
Finland,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.5167395251226585,4.334309986482561,4.430623698940526,3.282312865087391,2.0640629157319244,-2.3216392926406413,76.42739133360666
France,2021,1.2904492808032562,4.514587967722026,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.554845419045689,4.341860895757663,4.51701211659812,3.40779404616066,2.180059276300842,-0.6948672334338909,74.44803940907167
France,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.5561665058222935,4.339561553162088,4.5170042120172,3.40779404616066,2.180059276300842,-0.6948672334338909,74.40442034013078
France,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.5561665058222935,4.348954133627585,4.430623698940526,3.40779404616066,1.9324389107446345,-0.6948672334338909,74.04085426173978
Georgia,2021,1.2904492808032562,4.073870695233012,4.530195927798776,4.343925616046772,-0.1054002017288398,4.464572606707027,4.558481875916026,4.2070269734249,4.388018274203701,3.488005248423584,4.035008944794322,3.957522587642844,63.01416144829012
Georgia,2022,1.2904492808032562,4.073870695233012,4.530195927798776,4.376261532418839,-0.1054002017288398,4.464572606707027,4.573226014228436,4.240373717738035,4.387080280516013,3.4678391792038923,3.05714317652286,3.812030073176848,66.12036412991574
Georgia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.561962926982703,4.24500559533364,4.430623698940526,3.4678391792038923,2.963884083047296,3.812030073176848,62.94032021628362
Germany,2021,1.2904492808032562,4.52961518225522,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.543137808114528,4.323632305822261,4.522676179800672,3.4950523895136545,1.379448141588215,2.886126718541812,69.21039145113835
Germany,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.532304294663637,4.321444357281838,4.522679217940997,3.492108663266857,1.379448141588215,2.8612400934348163,69.049015262281
Germany,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.532304294663637,4.320643502603089,4.430623698940526,3.492163258139891,1.379448141588215,2.858936242195275,67.99521963104583
Greece,2021,1.2904492808032562,4.445694367047139,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.504020002549066,4.315110285345719,4.520443152817359,3.450213269127254,2.180059276300842,1.060669303168407,71.85257244135056
Greece,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.5416615374881255,4.32360304884619,4.520476404645807,3.450213269127254,2.2837388334592723,1.060669303168407,72.5127312061087
Greece,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.463036562993165,4.5416615374881255,4.332543412778207,4.430623698940526,3.450213269127254,1.6002152171414048,1.060669303168407,72.77673948547533
Guatemala,2021,1.2904492808032562,3.47855069661659,4.511633037506723,2.763504559615122,-0.3571300238567617,4.438908565758322,4.566371387108767,4.154479261879046,4.17176847008165,3.4950523895136545,4.745941255014033,2.886126718541812,53.50295709201108
Guatemala,2022,1.2904492808032562,3.47855069661659,4.511633037506723,2.8104633743771608,-0.3571300238567617,4.428208925912166,4.567268612459448,4.201200791684515,4.17937437280773,3.492108663266857,4.500719879266091,2.8612400934348163,54.873936835235114
Guatemala,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.428208925912166,4.559230080472124,4.220031797293324,4.430623698940526,3.492163258139891,4.4703110073120405,2.858936242195275,61.04771339433616
Honduras,2021,1.24717034366542,3.2562297317546225,4.380793474880647,3.150338753604656,-0.3571300238567617,4.520470705025596,4.361147109400831,4.177565017310521,4.356784213478558,3.4950523895136545,4.406445682407856,2.886126718541812,55.151535563268496
Honduras,2022,1.24717034366542,4.146253214804603,4.393147319313519,3.178208933312466,-0.3571300238567617,4.520470705025596,4.3826707031017245,4.221540094943609,4.36595137365424,3.492108663266857,3.8181287052871977,2.8612400934348163,57.87704798270696
Honduras,2023,1.24717034366542,4.189795067314174,4.415210176982258,4.268685704379358,-0.2233216140000439,4.520470705025596,4.390379177962299,4.223791467858033,4.430623698940526,3.492163258139891,3.7976483691293854,2.858936242195275,62.15657186028978
Hungary,2021,1.2904492808032562,4.329131417914854,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.544205274239018,4.239390378415791,4.510460725717982,3.33380210454434,3.3601841066899123,0.7862396022033442,70.19993969231537
Hungary,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.563259360565285,4.262703961194104,4.510436041557326,3.33380210454434,2.6143204865440173,0.7862396022033442,72.27305700684869
Hungary,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.463036562993165,4.563259360565285,4.274167791166135,4.430623698940526,3.33380210454434,2.462967195874403,0.7862396022033442,71.86026098055672
Iceland,2021,1.2904492808032562,4.530195927798776,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.516231809669744,4.351714338711821,4.518317409423234,3.4950523895136545,1.6002152171414048,2.886126718541812,70.96629625084276
